team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Alabama,2016,14-1,14,1,0,38.8,13.0,5.75,2.01,3154.0,2968.0,6.47,3.99,30.932166666666667,29.067833333333333,43.75,30.67,58.82,18.18,75.9,76.2,0.9333333333333332,25.799999999999997,3.74,13.079999999999998
Alabama,2017,13-1,13,1,0,37.1,11.9,5.73,2.72,2708.0,2320.0,6.59,3.99,29.7535,30.2465,40.45,34.58,83.33,36.84,67.9,87.5,0.9285714285714286,25.200000000000003,3.01,5.8700000000000045
Alabama,2018,14-1,14,1,0,45.6,18.1,5.21,3.53,4854.0,2974.0,7.76,4.89,30.327833333333334,29.53,52.12,34.23,46.67,45.83,75.0,60.0,0.9333333333333332,27.5,1.6800000000000002,17.89
Alabama,2019,11-2,11,2,0,47.2,18.6,5.03,3.82,4449.0,2434.0,7.89,4.81,29.9975,30.0025,52.29,35.68,68.42,36.84,66.7,100.0,0.8461538461538461,28.6,1.2100000000000004,16.61
Alabama,2020,13-0,13,0,0,48.5,19.4,5.0,3.33,4656.0,3109.0,7.81,5.04,30.9205,29.0795,58.9,41.5,55.56,54.17,100.0,73.7,1.0,29.1,1.67,17.4
Alabama,2021,13-2,13,2,0,39.9,20.1,4.11,2.66,5073.0,3271.0,6.54,4.77,31.8845,28.1155,52.02,31.25,52.94,54.84,79.3,100.0,0.8666666666666667,19.799999999999997,1.4500000000000002,20.770000000000003
Alabama,2022,11-2,11,2,0,41.1,18.2,5.57,3.63,3660.0,2442.0,6.93,4.59,29.955166666666667,30.044833333333333,45.68,30.3,60.0,38.46,84.6,84.2,0.8461538461538461,22.9,1.9400000000000004,15.38
Alabama,2023,12-2,12,2,0,34.0,19.0,4.31,3.72,3086.0,2675.0,6.21,5.01,30.732166666666668,29.267833333333332,45.05,32.98,71.43,40.74,88.0,66.7,0.8571428571428571,15.0,0.5899999999999994,12.07
Alabama,2024,9-4,9,4,0,33.8,17.4,4.63,3.68,3073.0,2369.0,6.33,4.72,29.107666666666667,30.641,47.27,32.8,50.0,65.22,80.0,65.4,0.6923076923076923,16.4,0.9499999999999996,14.470000000000006
Alabama,2025,8-2,8,2,0,31.6,17.8,3.39,4.16,2947.0,1615.0,5.95,5.04,32.48,27.52,47.1,35.48,64.0,68.75,64.7,84.6,0.8,13.8,-0.77,11.620000000000005
Boston College,2016,7-6,7,6,0,20.4,25.0,3.42,3.34,1869.0,2673.0,4.42,5.09,33.46666666666667,26.533333333333335,31.43,31.46,50.0,30.77,75.0,60.0,0.5384615384615384,-4.600000000000001,0.08,-0.0300000000000011
Boston College,2017,7-6,7,6,0,25.7,22.8,4.64,4.81,2162.0,2495.0,5.1,5.37,30.430833333333332,29.569166666666668,38.46,37.02,40.0,41.18,60.0,65.0,0.5384615384615384,2.8999999999999986,-0.1699999999999999,1.4399999999999975
Boston College,2018,7-5,7,5,0,32.0,25.7,4.07,3.77,2583.0,2975.0,5.42,5.17,27.826333333333334,32.17366666666667,33.87,37.37,50.0,50.0,66.7,57.1,0.5833333333333334,6.300000000000001,0.3000000000000002,-3.5
Boston College,2019,6-7,6,7,0,29.0,32.2,4.99,4.77,2288.0,3711.0,5.79,6.33,27.810333333333332,32.18966666666667,43.0,46.45,54.17,68.18,66.7,89.3,0.4615384615384615,-3.200000000000003,0.2200000000000006,-3.450000000000003
Boston College,2020,6-5,6,5,0,27.8,28.4,3.1,4.71,3126.0,2700.0,5.65,6.11,31.0045,28.95,44.22,40.43,64.29,81.25,81.8,70.0,0.5454545454545454,-0.5999999999999979,-1.61,3.789999999999999
Boston College,2021,6-6,6,6,0,24.7,22.2,4.11,4.53,2217.0,2082.0,5.35,5.43,29.7055,29.370833333333337,39.62,34.69,54.55,50.0,92.9,92.9,0.5,2.5,-0.4199999999999999,4.93
Boston College,2022,3-9,3,9,0,17.8,30.3,2.09,4.39,2965.0,2534.0,4.64,5.64,28.957,30.9055,32.76,36.81,44.44,21.43,52.9,85.7,0.25,-12.5,-2.3,-4.050000000000004
Boston College,2023,7-6,7,6,0,24.8,28.3,4.72,5.29,2372.0,2563.0,5.46,6.29,31.1295,28.532,41.36,41.56,76.32,72.22,78.6,64.3,0.5384615384615384,-3.5,-0.5700000000000003,-0.2000000000000028
Boston College,2024,7-6,7,6,0,28.2,23.8,4.08,3.62,2591.0,3195.0,5.53,5.49,31.724333333333337,28.275666666666663,44.07,36.36,44.44,48.28,60.0,84.0,0.5384615384615384,4.399999999999999,0.4599999999999999,7.710000000000001
Boston College,2025,1-10,1,10,0,24.6,34.6,3.17,5.08,3066.0,3003.0,5.37,6.7,29.487833333333334,30.512166666666666,37.66,42.45,55.17,58.82,100.0,84.2,0.0909090909090909,-10.0,-1.91,-4.790000000000006
Tulane,2016,4-8,4,8,0,24.1,27.7,4.63,4.05,1360.0,2463.0,4.83,5.36,32.391666666666666,27.608333333333334,27.81,42.86,55.56,33.33,62.5,80.0,0.3333333333333333,-3.599999999999998,0.5800000000000001,-15.05
Tulane,2017,5-7,5,7,0,27.5,29.2,4.83,5.44,1920.0,2708.0,5.76,6.68,32.586166666666664,27.413833333333333,39.88,44.37,64.0,47.83,90.0,63.6,0.4166666666666667,-1.6999999999999993,-0.6100000000000003,-4.489999999999995
Tulane,2018,7-6,7,6,0,26.8,27.5,4.7,3.88,2378.0,3373.0,5.77,5.56,32.25633333333333,27.743666666666662,35.45,33.68,35.71,48.28,76.9,72.2,0.5384615384615384,-0.6999999999999993,0.8200000000000003,1.7700000000000031
Tulane,2019,7-6,7,6,0,33.1,26.3,5.17,4.32,2679.0,2869.0,6.16,5.49,30.605166666666666,29.3615,38.89,38.97,58.82,53.85,76.5,88.9,0.5384615384615384,6.800000000000001,0.8499999999999996,-0.0799999999999983
Tulane,2020,6-6,6,6,0,34.7,28.1,5.05,3.41,2120.0,3344.0,5.7,5.63,28.636166666666668,31.363833333333332,34.0,40.0,54.55,48.48,60.0,50.0,0.5,6.600000000000001,1.6399999999999997,-6.0
Tulane,2021,2-10,2,10,0,27.6,34.0,4.42,3.93,2661.0,3255.0,5.64,5.81,29.140333333333334,31.736166666666666,36.09,40.0,50.0,79.31,50.0,66.7,0.1666666666666666,-6.399999999999999,0.4899999999999997,-3.9099999999999966
Tulane,2022,12-2,12,2,0,36.0,22.2,5.15,3.9,3313.0,2913.0,6.6,5.0,29.647666666666662,30.306,38.37,37.39,59.26,58.14,77.8,68.4,0.8571428571428571,13.8,1.2500000000000004,0.9799999999999968
Tulane,2023,11-3,11,3,0,26.4,20.5,4.12,3.55,3010.0,3200.0,5.79,5.2,31.345166666666668,28.639333333333333,37.84,36.56,59.38,45.95,80.8,86.4,0.7857142857142857,5.899999999999999,0.5700000000000003,1.2800000000000011
Tulane,2024,9-5,9,5,0,35.1,20.6,4.83,4.48,2931.0,2488.0,6.33,5.27,32.220166666666664,27.779833333333332,50.29,32.95,45.45,41.38,72.2,90.0,0.6428571428571429,14.5,0.3499999999999996,17.339999999999996
Tulane,2025,8-2,8,2,0,28.0,26.0,4.75,3.85,2438.0,2696.0,6.32,5.76,29.72833333333333,30.226666666666667,43.94,43.8,53.33,52.0,93.8,82.4,0.8,2.0,0.8999999999999999,0.1400000000000005
