column_0,Virginia,Opponents
Scoring: Points/Game,36.4,22.2
Scoring: Games - Points,9 - 328,9 - 200
First Downs: Total,199,159
First Downs: Rushing - Passing - By Penalty,94 - 97 - 8,56 - 92 - 11
Rushing: Yards / Attempt,4.68,3.40
Rushing: Attempts - Yards - TD,359 - 1680 - 24,294 - 999 - 15
Passing: Rating,137.44,129.14
Passing: Yards,2271,2086
Passing: Attempts - Completions - Interceptions - TD,309 - 203 - 6 - 13,290 - 183 - 10 - 11
Total Offense: Yards / Play,5.91,5.28
Total Offense: Plays - Yards,668 - 3951,584 - 3085
Punt Returns: Yards / Return,10.95,10.35
Punt Returns: Returns - Yards - TD,22 - 241 - 0,17 - 176 - 0
Kickoff Returns: Yards / Return,36.13,15.64
Kickoff Returns: Returns - Yards - TD,8 - 289 - 1,14 - 219 - 0
Punting: Yards / Punt,47.50,40.36
Punting: Punts - Yards,34 - 1615,50 - 2018
Interceptions: Returns - Yards - TD,10 - 120 - 2,6 - 62 - 0
Fumbles: Number - Lost,10 - 0,12 - 6
Penalties: Number - Yards,50 - 423,40 - 345
Time of Possession / Game,31:51.00,28:09.00
3rd Down Conversions: Conversion %,50%,28.57%
3rd Down Conversions: Attempts - Conversions,146 - 73,119 - 34
4th Down Conversions: Conversion %,47.37%,64.71%
4th Down Conversions: Attempts - Conversions,19 - 9,17 - 11
Red Zone: Success %,81.82%,85.71%
Red Zone: Attempts - Scores,44 - 36,28 - 24
Field Goals: Success %,76.5%,60%
Field Goals: Attempts - Made,17 - 13,10 - 6
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,39 - 39,24 - 24
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,2 - 0
