Date,Opponent,Result,Game Time,Attendance
08/30/25,Coastal Carolina,W 48-7,3:16,46143.0
09/06/25,@ NC State,L 31-35,3:07,56919.0
09/13/25,William & Mary,W 55-16,3:12,38512.0
09/20/25,Stanford,W 48-20,3:09,36223.0
09/26/25,Florida State,W 46-38,3:46,50107.0
10/04/25,@ 14 Louisville,W 30-27,3:38,50032.0
10/18/25,Washington State,W 22-20,3:08,56048.0
10/25/25,@ North Carolina,W 17-16,3:27,50500.0
11/01/25,@ California,W 31-21,3:33,30893.0
11/08/25,Wake Forest,,,
11/15/25,@ Duke,,,
11/29/25,Virginia Tech,,,
