column_0,Boston College,Opponents
Scoring: Points/Game,20.4,25.0
Scoring: Games - Points,13 - 265,13 - 325
First Downs: Total,189,201
First Downs: Rushing - Passing - By Penalty,88 - 87 - 14,67 - 107 - 27
Rushing: Yards / Attempt,3.42,3.34
Rushing: Attempts - Yards - TD,566 - 1938 - 16,422 - 1411 - 15
Passing: Rating,113.92,132.79
Passing: Yards,1869,2673
Passing: Attempts - Completions - Interceptions - TD,296 - 150 - 8 - 14,381 - 213 - 12 - 28
Total Offense: Yards / Play,4.42,5.09
Total Offense: Plays - Yards,862 - 3807,803 - 4084
Punt Returns: Yards / Return,12.35,5.00
Punt Returns: Returns - Yards - TD,26 - 321 - 0,31 - 155 - 0
Kickoff Returns: Yards / Return,22.77,18.44
Kickoff Returns: Returns - Yards - TD,30 - 683 - 1,39 - 719 - 0
Punting: Yards / Punt,38.11,40.92
Punting: Punts - Yards,95 - 3620,86 - 3519
Interceptions: Returns - Yards - TD,12 - 149 - 1,8 - 137 - 1
Fumbles: Number - Lost,22 - 12,25 - 15
Penalties: Number - Yards,90 - 746,73 - 617
Time of Possession / Game,33:28.00,26:32.00
3rd Down Conversions: Conversion %,31.43%,31.46%
3rd Down Conversions: Attempts - Conversions,210 - 66,178 - 56
4th Down Conversions: Conversion %,50%,30.77%
4th Down Conversions: Attempts - Conversions,22 - 11,13 - 4
Red Zone: Success %,82.05%,80%
Red Zone: Attempts - Scores,39 - 32,35 - 28
Field Goals: Success %,75%,60%
Field Goals: Attempts - Made,16 - 12,10 - 6
PAT Kicking: Success %,90.6%,100%
PAT Kicking: Attempts - Made,32 - 29,43 - 43
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,1 - 0
