column_0,Auburn,Opponents
Scoring: Points/Game,33.9,18.5
Scoring: Games - Points,14 - 474,14 - 259
First Downs: Total,312,233
First Downs: Rushing - Passing - By Penalty,161 - 126 - 25,100 - 111 - 22
Rushing: Yards / Attempt,4.76,3.63
Rushing: Attempts - Yards - TD,642 - 3056 - 34,529 - 1918 - 11
Passing: Rating,153.59,113.86
Passing: Yards,3267,2553
Passing: Attempts - Completions - Interceptions - TD,382 - 255 - 6 - 21,428 - 232 - 6 - 16
Total Offense: Yards / Play,6.17,4.67
Total Offense: Plays - Yards,"1,024 - 6323",957 - 4471
Punt Returns: Yards / Return,8.52,11.43
Punt Returns: Returns - Yards - TD,21 - 179 - 1,14 - 160 - 1
Kickoff Returns: Yards / Return,23.22,27.20
Kickoff Returns: Returns - Yards - TD,27 - 627 - 0,25 - 680 - 1
Punting: Yards / Punt,39.47,41.72
Punting: Punts - Yards,57 - 2250,90 - 3755
Interceptions: Returns - Yards - TD,6 - 82 - 2,6 - 52 - 1
Fumbles: Number - Lost,21 - 14,24 - 13
Penalties: Number - Yards,63 - 537,84 - 679
Time of Possession / Game,31:21.64,28:38.36
3rd Down Conversions: Conversion %,45.45%,32.88%
3rd Down Conversions: Attempts - Conversions,209 - 95,222 - 73
4th Down Conversions: Conversion %,46.67%,46.67%
4th Down Conversions: Attempts - Conversions,15 - 7,30 - 14
Red Zone: Success %,88.14%,83.33%
Red Zone: Attempts - Scores,59 - 52,36 - 30
Field Goals: Success %,74.2%,70%
Field Goals: Attempts - Made,31 - 23,20 - 14
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,57 - 57,29 - 29
2-Point Conversions: Success %,0%,50%
2-Point Conversions: Attempts - Made,1 - 0,2 - 1
