column_0,Temple,Opponents
Scoring: Points/Game,25.1,25.8
Scoring: Games - Points,13 - 326,13 - 335
First Downs: Total,263,267
First Downs: Rushing - Passing - By Penalty,89 - 152 - 22,119 - 117 - 31
Rushing: Yards / Attempt,3.85,4.27
Rushing: Attempts - Yards - TD,461 - 1773 - 15,532 - 2270 - 18
Passing: Rating,127.21,128.21
Passing: Yards,3273,2689
Passing: Attempts - Completions - Interceptions - TD,453 - 262 - 15 - 21,387 - 221 - 10 - 21
Total Offense: Yards / Play,5.52,5.40
Total Offense: Plays - Yards,914 - 5046,919 - 4959
Punt Returns: Yards / Return,7.64,6.93
Punt Returns: Returns - Yards - TD,22 - 168 - 1,14 - 97 - 0
Kickoff Returns: Yards / Return,22.26,20.77
Kickoff Returns: Returns - Yards - TD,47 - 1046 - 1,47 - 976 - 0
Punting: Yards / Punt,39.19,42.08
Punting: Punts - Yards,59 - 2312,63 - 2651
Interceptions: Returns - Yards - TD,10 - 234 - 0,15 - 206 - 1
Fumbles: Number - Lost,14 - 7,20 - 8
Penalties: Number - Yards,101 - 902,92 - 819
Time of Possession / Game,30:23.15,29:36.85
3rd Down Conversions: Conversion %,41.41%,38.34%
3rd Down Conversions: Attempts - Conversions,198 - 82,193 - 74
4th Down Conversions: Conversion %,50%,47.83%
4th Down Conversions: Attempts - Conversions,20 - 10,23 - 11
Red Zone: Success %,82.22%,86.79%
Red Zone: Attempts - Scores,45 - 37,53 - 46
Field Goals: Success %,67.9%,62.1%
Field Goals: Attempts - Made,28 - 19,29 - 18
PAT Kicking: Success %,91.7%,97.5%
PAT Kicking: Attempts - Made,36 - 33,40 - 39
2-Point Conversions: Success %,33.33%,-
2-Point Conversions: Attempts - Made,3 - 1,0 - 0
