Date,Opponent,Result,Game Time,Attendance
08/31/18,19 Army,W 34-14,2:56,26017
09/08/18,@ 21 Northwestern,W 21-7,3:05,40654
09/15/18,@ Baylor,W 40-27,3:31,40442
09/22/18,North Carolina Central,W 55-13,3:22,25132
09/29/18,Virginia Tech,L 14-31,3:08,32177
10/13/18,@ Georgia Tech,W 28-14,3:09,41709
10/20/18,Virginia,L 14-28,3:16,20277
10/27/18,@ Pittsburgh,L 45-54,3:21,31510
11/03/18,@ Miami (FL),W 20-12,3:25,62754
11/10/18,North Carolina,W 42-35,3:37,35493
11/17/18,@ 1 Clemson,L 6-35,3:20,81313
11/24/18,Wake Forest,L 7-59,3:01,20782
12/27/18,+ Temple,W 56-27,3:39,27492
