Date,Opponent,Result,Game Time,Attendance
09/01/18,Charleston Southern,W 53-6,3:08,81164
09/08/18,12 Kentucky,L 16-27,3:41,80651
09/15/18,Colorado State,W 48-10,3:26,80021
09/22/18,@ Tennessee,W 47-21,3:26,100027
09/29/18,@ Mississippi State,W 13-6,3:07,61406
10/06/18,6 LSU,W 27-19,3:49,90283
10/13/18,@ Vanderbilt,W 37-27,3:35,31118
10/27/18,+ 7 Georgia,L 17-36,3:15,84463
11/03/18,Missouri,L 17-38,3:23,80017
11/10/18,South Carolina,W 35-31,3:10,82696
11/17/18,Idaho,W 63-10,3:12,81467
11/24/18,@ Florida State,W 41-14,3:27,71953
12/29/18,+ 14 Michigan,W 41-15,3:28,74006
