column_0,Alabama,Opponents
Scoring: Points/Game,47.2,18.6
Scoring: Games - Points,13 - 614,13 - 242
First Downs: Total,318,247
First Downs: Rushing - Passing - By Penalty,126 - 168 - 24,95 - 121 - 31
Rushing: Yards / Attempt,5.03,3.82
Rushing: Attempts - Yards - TD,436 - 2191 - 27,467 - 1783 - 9
Passing: Rating,199.61,109.75
Passing: Yards,4449,2434
Passing: Attempts - Completions - Interceptions - TD,406 - 287 - 6 - 49,410 - 230 - 17 - 15
Total Offense: Yards / Play,7.89,4.81
Total Offense: Plays - Yards,842 - 6640,877 - 4217
Punt Returns: Yards / Return,24.14,9.18
Punt Returns: Returns - Yards - TD,22 - 531 - 3,11 - 101 - 0
Kickoff Returns: Yards / Return,21.23,16.79
Kickoff Returns: Returns - Yards - TD,30 - 637 - 1,28 - 470 - 0
Punting: Yards / Punt,39.91,38.90
Punting: Punts - Yards,33 - 1317,69 - 2684
Interceptions: Returns - Yards - TD,17 - 245 - 2,6 - 220 - 2
Fumbles: Number - Lost,9 - 4,19 - 11
Penalties: Number - Yards,95 - 855,75 - 628
Time of Possession / Game,29:59.85,30:00.15
3rd Down Conversions: Conversion %,52.29%,35.68%
3rd Down Conversions: Attempts - Conversions,153 - 80,185 - 66
4th Down Conversions: Conversion %,68.42%,36.84%
4th Down Conversions: Attempts - Conversions,19 - 13,19 - 7
Red Zone: Success %,83.87%,84.38%
Red Zone: Attempts - Scores,62 - 52,32 - 27
Field Goals: Success %,66.7%,100%
Field Goals: Attempts - Made,18 - 12,20 - 20
PAT Kicking: Success %,96.4%,95.7%
PAT Kicking: Attempts - Made,83 - 80,23 - 22
2-Point Conversions: Success %,-,66.67%
2-Point Conversions: Attempts - Made,0 - 0,3 - 2
