Date,Opponent,Result,Game Time,Attendance
08/31/19,Bucknell,W 56-12,3:07,26378
09/14/19,Maryland,W 20-17,3:43,30610
09/21/19,@ Buffalo,L 22-38,3:29,17621
09/28/19,Georgia Tech,W 24-2,3:20,31094
10/03/19,@ East Carolina,W 27-17,3:28,33253
10/12/19,17 Memphis,W 30-28,3:27,34253
10/19/19,@ SMU,L 21-45,3:32,23132
10/26/19,24 UCF,L 21-63,3:19,29949
11/07/19,@ USF,W 17-7,2:53,26214
11/16/19,Tulane,W 29-21,3:19,27850
11/23/19,@ 21 Cincinnati,L 13-15,3:11,30101
11/30/19,Connecticut,W 49-17,3:03,26083
12/27/19,+ North Carolina,L 13-55,3:21,24242
