Date,Opponent,Result,Game Time,Attendance
09/04/21,William & Mary,W 43-0,3:15,42982
09/11/21,Illinois,W 42-14,3:34,36036
09/18/21,@ North Carolina,L 39-59,3:35,50500
09/24/21,15 Wake Forest,L 17-37,3:40,38699
09/30/21,@ Miami (FL),W 30-28,3:43,37269
10/09/21,@ Louisville,W 34-33,4:08,40320
10/16/21,Duke,W 48-0,3:19,38489
10/23/21,Georgia Tech,W 48-40,3:29,45837
10/30/21,@ 19 BYU,L 49-66,3:34,57685
11/13/21,8 Notre Dame,L 3-28,3:00,48584
11/20/21,@ 13 Pittsburgh,L 38-48,3:42,45183
11/27/21,Virginia Tech,L 24-29,3:17,46445
