Date,Opponent,Result,Game Time,Attendance
09/03/22,Utah State,W 55-0,3:40,98321
09/10/22,@ 25 Texas,W 20-19,3:32,105213
09/17/22,Louisiana-Monroe,W 63-7,3:21,98433
09/24/22,Vanderbilt,W 55-3,3:15,96246
10/01/22,@ Arkansas,W 49-26,3:40,75579
10/08/22,Texas A&M,W 24-20,3:27,100077
10/15/22,@ 6 Tennessee,L 49-52,3:55,101915
10/22/22,20 Mississippi State,W 30-6,3:38,100077
11/05/22,@ 16 LSU,L 31-32,3:56,102321
11/12/22,@ Ole Miss,W 30-24,3:17,65923
11/19/22,Austin Peay,W 34-0,3:07,99639
11/26/22,Auburn,W 49-27,3:28,100077
12/31/22,+ 14 Kansas State,W 45-20,3:30,60437
