column_0,Florida,Opponents
Scoring: Points/Game,29.5,28.8
Scoring: Games - Points,13 - 384,13 - 375
First Downs: Total,260,297
First Downs: Rushing - Passing - By Penalty,113 - 129 - 18,135 - 140 - 22
Rushing: Yards / Attempt,5.51,4.49
Rushing: Attempts - Yards - TD,472 - 2603 - 29,507 - 2278 - 29
Passing: Rating,132.47,135.25
Passing: Yards,2910,3065
Passing: Attempts - Completions - Interceptions - TD,366 - 199 - 9 - 18,396 - 240 - 9 - 17
Total Offense: Yards / Play,6.58,5.92
Total Offense: Plays - Yards,838 - 5513,903 - 5343
Punt Returns: Yards / Return,7.65,8.00
Punt Returns: Returns - Yards - TD,17 - 130 - 0,12 - 96 - 0
Kickoff Returns: Yards / Return,21.70,21.38
Kickoff Returns: Returns - Yards - TD,27 - 586 - 0,21 - 449 - 0
Punting: Yards / Punt,46.61,43.29
Punting: Punts - Yards,36 - 1678,42 - 1818
Interceptions: Returns - Yards - TD,9 - 93 - 2,9 - 125 - 1
Fumbles: Number - Lost,13 - 5,17 - 13
Penalties: Number - Yards,89 - 666,73 - 562
Time of Possession / Game,29:02.62,30:56.85
3rd Down Conversions: Conversion %,40.48%,49.71%
3rd Down Conversions: Attempts - Conversions,168 - 68,175 - 87
4th Down Conversions: Conversion %,46.88%,43.48%
4th Down Conversions: Attempts - Conversions,32 - 15,23 - 10
Red Zone: Success %,75%,83.93%
Red Zone: Attempts - Scores,52 - 39,56 - 47
Field Goals: Success %,66.7%,77.8%
Field Goals: Attempts - Made,21 - 14,18 - 14
PAT Kicking: Success %,97.7%,97.7%
PAT Kicking: Attempts - Made,43 - 42,44 - 43
2-Point Conversions: Success %,33.33%,25%
2-Point Conversions: Attempts - Made,6 - 2,4 - 1
