column_0,Virginia,Opponents
Scoring: Points/Game,17.0,24.0
Scoring: Games - Points,10 - 170,10 - 240
First Downs: Total,191,209
First Downs: Rushing - Passing - By Penalty,74 - 92 - 25,85 - 104 - 20
Rushing: Yards / Attempt,3.74,3.76
Rushing: Attempts - Yards - TD,329 - 1231 - 13,407 - 1532 - 12
Passing: Rating,108.11,123.62
Passing: Yards,2210,2044
Passing: Attempts - Completions - Interceptions - TD,342 - 185 - 12 - 7,312 - 191 - 5 - 10
Total Offense: Yards / Play,5.13,4.97
Total Offense: Plays - Yards,671 - 3441,719 - 3576
Punt Returns: Yards / Return,4.85,12.56
Punt Returns: Returns - Yards - TD,13 - 63 - 0,25 - 314 - 0
Kickoff Returns: Yards / Return,22.00,24.92
Kickoff Returns: Returns - Yards - TD,20 - 440 - 0,13 - 324 - 0
Punting: Yards / Punt,42.70,41.98
Punting: Punts - Yards,54 - 2306,53 - 2225
Interceptions: Returns - Yards - TD,5 - 40 - 0,12 - 67 - 3
Fumbles: Number - Lost,12 - 10,12 - 8
Penalties: Number - Yards,70 - 622,68 - 590
Time of Possession / Game,27:34.10,32:25.90
3rd Down Conversions: Conversion %,32.12%,36.6%
3rd Down Conversions: Attempts - Conversions,137 - 44,153 - 56
4th Down Conversions: Conversion %,38.89%,57.14%
4th Down Conversions: Attempts - Conversions,18 - 7,14 - 8
Red Zone: Success %,75%,88.24%
Red Zone: Attempts - Scores,32 - 24,34 - 30
Field Goals: Success %,61.1%,82.6%
Field Goals: Attempts - Made,18 - 11,23 - 19
PAT Kicking: Success %,85%,96.2%
PAT Kicking: Attempts - Made,20 - 17,26 - 25
2-Point Conversions: Success %,0%,50%
2-Point Conversions: Attempts - Made,2 - 0,2 - 1
