Date,Opponent,Result,Game Time,Attendance
09/02/23,Northern Illinois,L 24-27,3:37,30122
09/09/23,Holy Cross,W 31-28,5:51,40122
09/16/23,7 Florida State,L 29-31,3:33,41383
09/23/23,@ 19 Louisville,L 28-56,3:08,48294
09/30/23,Virginia,W 27-24,3:26,41868
10/07/23,@ Army,W 27-24,3:16,34017
10/21/23,@ Georgia Tech,W 38-23,3:21,35656
10/28/23,Connecticut,W 21-14,3:01,36902
11/03/23,@ Syracuse,W 17-10,3:19,42523
11/11/23,Virginia Tech,L 22-48,3:05,33665
11/16/23,@ Pittsburgh,L 16-24,3:17,41842
11/24/23,Miami (FL),L 20-45,3:23,30569
12/28/23,+ 21 SMU,W 23-14,3:28,16238
