Date,Opponent,Result,Game Time,Attendance
09/02/23,South Alabama,W 37-17,3:18,26973
09/09/23,9 Ole Miss,L 20-37,3:30,30000
09/16/23,@ Southern Miss,W 21-3,3:06,25038
09/23/23,Nicholls State,W 36-7,3:05,22842
09/30/23,UAB,W 35-23,3:33,20102
10/13/23,@ Memphis,W 31-21,3:22,35609
10/21/23,North Texas,W 35-28,3:14,30000
10/28/23,@ Rice,W 30-28,3:17,20436
11/04/23,@ East Carolina,W 13-10,3:05,33765
11/11/23,Tulsa,W 24-22,3:21,20126
11/18/23,@ Florida Atlantic,W 24-8,3:06,15871
11/24/23,UTSA,W 29-16,3:27,25103
12/02/23,21 SMU,L 14-26,3:36,25206
12/27/23,+ Virginia Tech,L 20-41,3:19,35849
