column_0,Duke,Opponents
Scoring: Points/Game,26.3,24.5
Scoring: Games - Points,13 - 342,13 - 318
First Downs: Total,229,264
First Downs: Rushing - Passing - By Penalty,60 - 141 - 28,113 - 122 - 29
Rushing: Yards / Attempt,3.15,3.75
Rushing: Attempts - Yards - TD,381 - 1202 - 13,519 - 1945 - 15
Passing: Rating,131.31,121.66
Passing: Yards,3176,2775
Passing: Attempts - Completions - Interceptions - TD,467 - 280 - 13 - 28,424 - 246 - 13 - 19
Total Offense: Yards / Play,5.16,5.01
Total Offense: Plays - Yards,848 - 4378,943 - 4720
Punt Returns: Yards / Return,8.93,4.48
Punt Returns: Returns - Yards - TD,27 - 241 - 0,21 - 94 - 0
Kickoff Returns: Yards / Return,24.18,22.31
Kickoff Returns: Returns - Yards - TD,22 - 532 - 1,35 - 781 - 1
Punting: Yards / Punt,43.26,43.21
Punting: Punts - Yards,77 - 3331,70 - 3025
Interceptions: Returns - Yards - TD,13 - 211 - 1,13 - 174 - 2
Fumbles: Number - Lost,11 - 6,24 - 14
Penalties: Number - Yards,67 - 651,87 - 755
Time of Possession / Game,27:23.69,32:21.38
3rd Down Conversions: Conversion %,29.55%,33.83%
3rd Down Conversions: Attempts - Conversions,176 - 52,201 - 68
4th Down Conversions: Conversion %,36.84%,60.87%
4th Down Conversions: Attempts - Conversions,19 - 7,23 - 14
Red Zone: Success %,85.37%,81.82%
Red Zone: Attempts - Scores,41 - 35,44 - 36
Field Goals: Success %,75%,73.1%
Field Goals: Attempts - Made,20 - 15,26 - 19
PAT Kicking: Success %,94.6%,100%
PAT Kicking: Attempts - Made,37 - 35,35 - 35
2-Point Conversions: Success %,20%,100%
2-Point Conversions: Attempts - Made,5 - 1,2 - 2
