Date,Opponent,Result,Game Time,Attendance
08/29/25,@ Baylor,W 38-24,3:30,45233.0
09/06/25,Ball State,W 42-3,3:13,88043.0
09/13/25,South Alabama,W 31-15,2:56,88043.0
09/20/25,@ 8 Oklahoma,L 17-24,3:41,83639.0
09/27/25,@ 3 Texas A&M,L 10-16,3:26,108449.0
10/11/25,4 Georgia,L 10-20,3:44,88043.0
10/18/25,23 Missouri,L 17-23,3:50,88043.0
10/25/25,@ Arkansas,W 33-24,3:09,68922.0
11/01/25,Kentucky,L 3-10,3:02,88043.0
11/08/25,@ 12 Vanderbilt,L 38-45,3:55,35000.0
11/22/25,Mercer,,,
11/29/25,10 Alabama,,,
