column_0,Tulane,Opponents
Scoring: Points/Game,28.0,26.0
Scoring: Games - Points,10 - 280,10 - 260
First Downs: Total,218,234
First Downs: Rushing - Passing - By Penalty,80 - 120 - 18,94 - 117 - 23
Rushing: Yards / Attempt,4.75,3.85
Rushing: Attempts - Yards - TD,355 - 1688 - 19,371 - 1427 - 13
Passing: Rating,142.71,144.02
Passing: Yards,2438,2696
Passing: Attempts - Completions - Interceptions - TD,298 - 183 - 6 - 15,345 - 231 - 10 - 18
Total Offense: Yards / Play,6.32,5.76
Total Offense: Plays - Yards,653 - 4126,716 - 4123
Punt Returns: Yards / Return,4.83,8.50
Punt Returns: Returns - Yards - TD,12 - 58 - 0,14 - 119 - 0
Kickoff Returns: Yards / Return,21.70,20.50
Kickoff Returns: Returns - Yards - TD,20 - 434 - 0,2 - 41 - 0
Punting: Yards / Punt,47.22,41.41
Punting: Punts - Yards,37 - 1747,32 - 1325
Interceptions: Returns - Yards - TD,10 - 37 - 0,6 - 47 - 0
Fumbles: Number - Lost,9 - 5,14 - 6
Penalties: Number - Yards,78 - 701,55 - 488
Time of Possession / Game,29:43.70,30:13.60
3rd Down Conversions: Conversion %,43.94%,43.8%
3rd Down Conversions: Attempts - Conversions,132 - 58,137 - 60
4th Down Conversions: Conversion %,53.33%,52%
4th Down Conversions: Attempts - Conversions,15 - 8,25 - 13
Red Zone: Success %,87.8%,86.11%
Red Zone: Attempts - Scores,41 - 36,36 - 31
Field Goals: Success %,93.8%,82.4%
Field Goals: Attempts - Made,16 - 15,17 - 14
PAT Kicking: Success %,96.9%,100%
PAT Kicking: Attempts - Made,32 - 31,22 - 22
2-Point Conversions: Success %,0%,55.56%
2-Point Conversions: Attempts - Made,2 - 0,9 - 5
