column_0,Tulsa,Opponents
Scoring: Points/Game,22.8,29.1
Scoring: Games - Points,10 - 228,10 - 291
First Downs: Total,220,213
First Downs: Rushing - Passing - By Penalty,95 - 101 - 24,98 - 104 - 11
Rushing: Yards / Attempt,4.10,4.28
Rushing: Attempts - Yards - TD,409 - 1678 - 14,400 - 1713 - 17
Passing: Rating,119.58,140.87
Passing: Yards,2243,2341
Passing: Attempts - Completions - Interceptions - TD,354 - 210 - 9 - 13,319 - 200 - 5 - 19
Total Offense: Yards / Play,5.14,5.64
Total Offense: Plays - Yards,763 - 3921,719 - 4054
Punt Returns: Yards / Return,9.80,7.27
Punt Returns: Returns - Yards - TD,10 - 98 - 0,11 - 80 - 0
Kickoff Returns: Yards / Return,18.77,19.40
Kickoff Returns: Returns - Yards - TD,22 - 413 - 0,15 - 291 - 0
Punting: Yards / Punt,43.32,42.40
Punting: Punts - Yards,44 - 1906,47 - 1993
Interceptions: Returns - Yards - TD,5 - 42 - 0,9 - 61 - 0
Fumbles: Number - Lost,19 - 7,14 - 4
Penalties: Number - Yards,50 - 381,60 - 590
Time of Possession / Game,29:16.10,30:43.90
3rd Down Conversions: Conversion %,37.2%,41.83%
3rd Down Conversions: Attempts - Conversions,164 - 61,153 - 64
4th Down Conversions: Conversion %,58.33%,52%
4th Down Conversions: Attempts - Conversions,36 - 21,25 - 13
Red Zone: Success %,84.85%,85.37%
Red Zone: Attempts - Scores,33 - 28,41 - 35
Field Goals: Success %,82.4%,100%
Field Goals: Attempts - Made,17 - 14,11 - 11
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,22 - 22,32 - 32
2-Point Conversions: Success %,20%,40%
2-Point Conversions: Attempts - Made,5 - 1,5 - 2
