Date,Opponent,Result,Game Time,Attendance
08/30/25,Abilene Christian,W 35-7,3:01,17337.0
09/06/25,@ New Mexico State,L 14-21,3:11,10240.0
09/13/25,Navy,L 23-42,3:21,20103.0
09/19/25,@ Oklahoma State,W 19-12,3:35,48842.0
09/27/25,24 Tulane,L 14-31,3:35,16311.0
10/04/25,@ Memphis,L 7-45,3:10,27303.0
10/16/25,@ East Carolina,L 27-41,3:57,31307.0
10/25/25,Temple,L 37-38,3:44,16403.0
11/08/25,@ Florida Atlantic,L 21-40,3:33,16170.0
11/15/25,Oregon State,W 31-14,3:10,15034.0
11/22/25,@ Army,,,
11/29/25,UAB,,,
