team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Auburn,2016,8-5,8,5,0,31.2,17.1,5.47,3.74,2203.0,2979.0,6.13,5.07,29.180833333333332,30.819166666666668,41.76,34.83,47.62,52.17,87.5,75.0,0.6153846153846154,14.099999999999998,1.7299999999999995,6.93
Auburn,2017,10-4,10,4,0,33.9,18.5,4.76,3.63,3267.0,2553.0,6.17,4.67,31.360666666666667,28.639333333333333,45.45,32.88,46.67,46.67,74.2,70.0,0.7142857142857143,15.399999999999999,1.13,12.57
Auburn,2018,8-5,8,5,0,30.9,19.2,4.25,3.72,2892.0,2853.0,5.67,5.15,28.346166666666665,31.524333333333335,36.87,34.69,50.0,38.1,57.7,73.3,0.6153846153846154,11.7,0.5299999999999998,2.1799999999999997
Auburn,2019,9-4,9,4,0,33.2,19.5,4.71,3.54,2697.0,2780.0,5.58,4.84,29.628166666666665,30.371833333333335,40.53,29.9,46.67,40.0,72.0,61.1,0.6923076923076923,13.700000000000003,1.17,10.630000000000003
Auburn,2020,6-5,6,5,0,25.1,24.7,4.56,4.18,2423.0,2669.0,5.58,5.62,28.727333333333334,31.0985,44.94,50.31,27.27,46.67,90.9,57.1,0.5454545454545454,0.40000000000000213,0.3799999999999999,-5.3700000000000045
Auburn,2021,6-7,6,7,0,28.3,21.8,4.73,3.51,3121.0,3195.0,5.81,5.27,29.056333333333335,30.943666666666665,40.44,36.02,56.52,37.04,70.4,79.2,0.46153846153846156,6.5,1.2200000000000006,4.419999999999995
Auburn,2022,5-7,5,7,0,24.8,29.5,5.06,4.64,2072.0,2671.0,5.7,5.52,30.232,29.768,35.96,42.46,59.09,50.0,75.0,73.7,0.4166666666666667,-4.699999999999999,0.41999999999999993,-6.5
Auburn,2023,6-7,6,7,0,26.2,22.6,4.79,4.35,2109.0,2628.0,5.5,5.65,29.143666666666668,30.855166666666666,32.93,31.71,50.0,55.56,100.0,70.0,0.46153846153846156,3.599999999999998,0.4400000000000004,1.2199999999999989
Auburn,2024,5-7,5,7,0,27.8,21.3,4.92,3.08,3167.0,2556.0,6.67,4.88,27.2305,31.936166666666665,41.78,39.67,47.37,52.63,54.5,59.1,0.4166666666666667,6.5,1.8399999999999999,2.1099999999999994
Auburn,2025,4-6,4,6,0,23.9,20.4,4.37,2.72,1836.0,2413.0,5.15,5.14,30.495,29.126666666666665,36.76,35.82,50.0,61.11,76.2,78.9,0.4,3.5,1.65,0.9399999999999977
