team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Duke,2016,4-8,4,8,0,23.3,28.2,3.89,4.48,2877.0,2877.0,5.15,6.29,31.425,28.575,43.01,39.66,37.5,25.0,30.0,76.5,0.3333333333333333,-4.899999999999999,-0.5900000000000003,3.3500000000000014
Duke,2017,7-6,7,6,0,26.5,20.2,4.07,4.0,2774.0,2332.0,4.92,5.22,31.3795,28.6205,39.23,32.02,62.96,22.22,81.8,69.2,0.5384615384615384,6.300000000000001,0.07000000000000028,7.209999999999994
Duke,2018,8-5,8,5,0,29.4,27.4,4.32,4.98,3199.0,2593.0,5.52,5.51,27.826999999999998,32.168,42.44,40.0,42.86,44.0,69.2,46.7,0.6153846153846154,2.0,-0.6600000000000001,2.4399999999999977
Duke,2019,5-7,5,7,0,25.3,29.2,3.64,4.34,2152.0,2388.0,4.53,5.35,29.025,30.975,33.16,37.16,60.61,52.38,83.3,85.0,0.4166666666666667,-3.8999999999999986,-0.6999999999999997,-4.0
Duke,2020,2-9,2,9,0,24.8,38.1,3.94,5.08,2449.0,2548.0,5.03,6.25,28.566666666666666,31.433333333333334,38.69,41.29,47.83,66.67,86.7,76.9,0.18181818181818182,-13.3,-1.1400000000000001,-2.6000000000000014
Duke,2021,3-9,3,9,0,22.8,39.8,4.13,5.28,2855.0,3741.0,5.38,7.11,29.309666666666665,30.690333333333335,42.36,48.55,37.93,75.0,66.7,87.0,0.25,-16.999999999999996,-1.1500000000000004,-6.189999999999998
Duke,2022,9-4,9,4,0,32.8,22.1,4.95,3.69,3010.0,3345.0,6.11,5.52,33.119166666666665,26.880833333333335,41.86,43.02,58.33,42.31,70.8,80.0,0.6923076923076923,10.699999999999996,1.2600000000000002,-1.1600000000000037
Duke,2023,8-5,8,5,0,26.9,19.0,4.85,3.9,2351.0,2740.0,5.62,5.15,28.993666666666666,31.006333333333334,36.81,38.25,60.0,39.29,78.3,73.1,0.6153846153846154,7.899999999999999,0.9499999999999997,-1.4399999999999977
Duke,2024,9-4,9,4,0,26.3,24.5,3.15,3.75,3176.0,2775.0,5.16,5.01,27.394833333333334,32.35633333333333,29.55,33.83,36.84,60.87,75.0,73.1,0.6923076923076923,1.8000000000000007,-0.6000000000000001,-4.279999999999998
Duke,2025,5-5,5,5,0,33.4,29.6,4.43,4.08,3029.0,2733.0,6.61,6.24,27.77,32.185,39.67,44.36,73.91,60.0,68.8,86.7,0.5,3.799999999999997,0.34999999999999964,-4.689999999999998
