team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Florida,2016,9-4,9,4,0,23.9,16.8,3.69,3.84,2805.0,1931.0,5.19,4.66,31.219166666666666,28.780833333333334,41.67,34.81,46.67,25.0,84.0,66.7,0.6923076923076923,7.099999999999998,-0.1499999999999999,6.859999999999999
Florida,2017,4-7,4,7,0,22.1,27.3,4.3,4.23,1975.0,2149.0,5.19,5.73,31.053,28.947,32.48,33.09,66.67,71.43,94.4,66.7,0.36363636363636365,-5.199999999999999,0.0699999999999994,-0.6100000000000065
Florida,2018,10-3,10,3,0,35.0,20.0,5.27,4.29,2776.0,2350.0,6.23,5.12,29.933333333333334,30.056333333333335,41.62,37.44,55.0,39.13,90.0,73.9,0.7692307692307693,15.0,0.9799999999999995,4.18
Florida,2019,11-2,11,2,0,33.2,15.5,4.24,3.19,3910.0,2627.0,6.47,4.9,29.959,29.741,41.14,36.41,61.54,30.0,89.5,65.0,0.8461538461538461,17.700000000000003,1.0500000000000003,4.730000000000004
Florida,2020,8-4,8,4,0,39.8,30.8,4.29,4.56,4543.0,3090.0,7.28,6.06,30.501333333333335,29.498666666666665,50.0,41.07,58.33,65.22,79.2,85.7,0.6666666666666666,8.999999999999996,-0.2699999999999996,8.93
Florida,2021,6-7,6,7,0,30.7,26.8,5.48,4.46,3304.0,2651.0,6.6,5.48,30.487166666666667,28.741,41.38,35.23,56.0,45.0,66.7,69.6,0.46153846153846156,3.8999999999999986,1.0200000000000005,6.150000000000006
Florida,2022,6-7,6,7,0,29.5,28.8,5.51,4.49,2910.0,3065.0,6.58,5.92,29.043666666666667,30.9475,40.48,49.71,46.88,43.48,66.7,77.8,0.46153846153846156,0.6999999999999993,1.0199999999999996,-9.230000000000004
Florida,2023,5-7,5,7,0,28.4,27.6,4.27,4.84,3111.0,2720.0,6.05,6.44,33.101333333333336,26.898666666666667,36.91,35.62,40.91,30.77,75.0,85.0,0.4166666666666667,0.7999999999999972,-0.5700000000000003,1.2899999999999991
Florida,2024,8-5,8,5,0,28.3,23.1,4.55,3.79,2934.0,2957.0,6.26,5.25,28.573,31.383333333333333,37.89,39.67,46.67,51.72,85.7,66.7,0.6153846153846154,5.199999999999999,0.7599999999999998,-1.7800000000000011
Florida,2025,3-7,3,7,0,20.8,23.6,3.96,3.82,2171.0,2231.0,5.29,5.55,29.835,30.165,33.85,41.67,37.5,66.67,83.3,81.3,0.3,-2.8000000000000007,0.14000000000000012,-7.82
