team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Tulane,2016,4-8,4,8,0,24.1,27.7,4.63,4.05,1360.0,2463.0,4.83,5.36,32.391666666666666,27.608333333333334,27.81,42.86,55.56,33.33,62.5,80.0,0.3333333333333333,-3.599999999999998,0.5800000000000001,-15.05
Tulane,2017,5-7,5,7,0,27.5,29.2,4.83,5.44,1920.0,2708.0,5.76,6.68,32.586166666666664,27.413833333333333,39.88,44.37,64.0,47.83,90.0,63.6,0.4166666666666667,-1.6999999999999993,-0.6100000000000003,-4.489999999999995
Tulane,2018,7-6,7,6,0,26.8,27.5,4.7,3.88,2378.0,3373.0,5.77,5.56,32.25633333333333,27.743666666666666,35.45,33.68,35.71,48.28,76.9,72.2,0.5384615384615384,-0.6999999999999993,0.8200000000000003,1.7700000000000031
Tulane,2019,7-6,7,6,0,33.1,26.3,5.17,4.32,2679.0,2869.0,6.16,5.49,30.605166666666666,29.3615,38.89,38.97,58.82,53.85,76.5,88.9,0.5384615384615384,6.800000000000001,0.8499999999999996,-0.0799999999999983
Tulane,2020,6-6,6,6,0,34.7,28.1,5.05,3.41,2120.0,3344.0,5.7,5.63,28.636166666666668,31.363833333333332,34.0,40.0,54.55,48.48,60.0,50.0,0.5,6.600000000000001,1.6399999999999997,-6.0
Tulane,2021,2-10,2,10,0,27.6,34.0,4.42,3.93,2661.0,3255.0,5.64,5.81,29.140333333333334,31.736166666666666,36.09,40.0,50.0,79.31,50.0,66.7,0.16666666666666666,-6.399999999999999,0.48999999999999977,-3.9099999999999966
Tulane,2022,12-2,12,2,0,36.0,22.2,5.15,3.9,3313.0,2913.0,6.6,5.0,29.647666666666666,30.306,38.37,37.39,59.26,58.14,77.8,68.4,0.8571428571428571,13.8,1.2500000000000004,0.9799999999999969
Tulane,2023,11-3,11,3,0,26.4,20.5,4.12,3.55,3010.0,3200.0,5.79,5.2,31.345166666666668,28.639333333333333,37.84,36.56,59.38,45.95,80.8,86.4,0.7857142857142857,5.899999999999999,0.5700000000000003,1.2800000000000011
Tulane,2024,9-5,9,5,0,35.1,20.6,4.83,4.48,2931.0,2488.0,6.33,5.27,32.220166666666664,27.779833333333332,50.29,32.95,45.45,41.38,72.2,90.0,0.6428571428571429,14.5,0.34999999999999964,17.339999999999996
Tulane,2025,8-2,8,2,0,28.0,26.0,4.75,3.85,2438.0,2696.0,6.32,5.76,29.72833333333333,30.226666666666667,43.94,43.8,53.33,52.0,93.8,82.4,0.8,2.0,0.8999999999999999,0.14000000000000057
