team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Tulsa,2016,10-3,10,3,0,42.5,29.8,5.12,4.36,3449.0,3252.0,6.15,5.47,29.698666666666668,30.301333333333332,46.19,37.12,60.0,53.13,80.8,90.0,0.7692307692307693,12.7,0.7599999999999998,9.07
Tulsa,2017,2-10,2,10,0,29.3,37.5,5.01,5.86,2077.0,3167.0,5.71,7.31,28.0195,31.9805,43.68,44.59,60.87,47.06,75.0,84.2,0.16666666666666666,-8.2,-0.8500000000000005,-0.9100000000000037
Tulsa,2018,3-9,3,9,0,24.1,29.6,4.13,5.0,2125.0,2095.0,5.04,5.63,29.1945,30.8055,43.0,45.76,58.06,36.36,57.1,90.5,0.25,-5.5,-0.8700000000000001,-2.759999999999998
Tulsa,2019,4-8,4,8,0,25.9,31.3,3.3,4.48,3376.0,2516.0,5.32,5.67,30.654166666666665,29.345833333333335,42.93,34.08,56.52,67.74,62.5,82.4,0.3333333333333333,-5.400000000000002,-1.1800000000000006,8.850000000000001
Tulsa,2020,6-3,6,3,0,27.1,21.6,3.99,3.61,2275.0,1706.0,5.58,4.7,28.713,31.287,41.73,32.85,52.94,50.0,75.0,68.2,0.6666666666666666,5.5,0.38000000000000034,8.879999999999995
Tulsa,2021,7-6,7,6,0,26.4,26.6,4.55,3.88,3244.0,2957.0,5.98,5.44,30.834666666666667,30.319166666666668,38.62,38.67,47.37,47.83,95.7,65.4,0.5384615384615384,-0.20000000000000284,0.6699999999999999,-0.05000000000000426
Tulsa,2022,5-7,5,7,0,30.6,33.1,3.88,4.91,3278.0,2476.0,5.86,5.88,28.891666666666666,31.108333333333334,39.64,36.67,64.71,58.33,81.0,78.6,0.4166666666666667,-2.5,-1.0300000000000002,2.969999999999999
Tulsa,2023,4-8,4,8,0,23.4,33.8,4.12,4.68,2456.0,3358.0,5.37,6.58,29.668,30.332,44.62,40.0,43.75,62.5,85.0,75.0,0.3333333333333333,-10.399999999999999,-0.5599999999999996,4.619999999999997
Tulsa,2024,3-9,3,9,0,25.0,42.5,4.02,4.85,2863.0,3792.0,5.26,7.07,29.727833333333333,30.2445,36.73,43.13,32.26,50.0,66.7,53.8,0.25,-17.5,-0.8300000000000001,-6.400000000000006
Tulsa,2025,3-7,3,7,0,22.8,29.1,4.1,4.28,2243.0,2341.0,5.14,5.64,29.268333333333334,30.731666666666666,37.2,41.83,58.33,52.0,82.4,100.0,0.3,-6.300000000000001,-0.1800000000000006,-4.6299999999999955
