team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Virginia,2016,2-10,2,10,0,22.5,33.8,3.55,4.7,2872.0,3079.0,4.86,6.33,29.007,30.993,34.62,43.35,52.17,53.33,50.0,76.2,0.16666666666666666,-11.299999999999997,-1.1500000000000004,-8.730000000000004
Virginia,2017,6-7,6,7,0,22.5,28.4,3.13,4.65,3233.0,2155.0,4.9,5.4,30.466666666666665,29.533333333333335,39.23,36.7,39.29,57.69,66.7,64.3,0.46153846153846156,-5.899999999999999,-1.5200000000000005,2.529999999999994
Virginia,2018,8-5,8,5,0,28.5,20.1,4.51,4.34,2751.0,2379.0,5.84,5.27,32.56033333333333,27.439666666666668,49.12,40.33,61.54,43.48,68.2,76.2,0.6153846153846154,8.399999999999999,0.16999999999999993,8.79
Virginia,2019,9-5,9,5,0,32.1,27.1,3.84,3.89,3748.0,3272.0,5.66,5.75,33.05716666666667,26.942833333333333,45.32,36.02,56.25,52.0,83.3,71.4,0.6428571428571429,5.0,-0.050000000000000266,9.299999999999997
Virginia,2020,5-5,5,5,0,30.7,29.6,4.45,3.74,2606.0,3044.0,5.68,6.39,31.063333333333333,28.936666666666667,37.06,41.67,64.0,33.33,76.9,82.6,0.5,1.0999999999999979,0.71,-4.609999999999999
Virginia,2021,6-6,6,6,0,34.6,31.8,4.38,5.79,4711.0,2882.0,6.95,6.63,30.643,29.288833333333333,45.91,40.99,42.11,63.16,78.9,65.2,0.5,2.8000000000000007,-1.4100000000000001,4.919999999999995
Virginia,2022,3-7,3,7,0,17.0,24.0,3.74,3.76,2210.0,2044.0,5.13,4.97,27.568333333333335,32.431666666666665,32.12,36.6,38.89,57.14,61.1,82.6,0.3,-7.0,-0.019999999999999574,-4.480000000000004
Virginia,2023,3-9,3,9,0,23.3,33.8,3.12,5.1,3010.0,2697.0,5.21,6.05,31.409666666666666,28.590333333333334,36.07,40.37,60.0,57.89,85.7,85.0,0.25,-10.499999999999996,-1.9799999999999995,-4.299999999999997
Virginia,2024,5-7,5,7,0,22.7,28.8,3.66,4.13,2748.0,3157.0,5.2,6.02,29.897166666666667,30.101333333333333,34.25,38.55,51.72,62.5,85.7,74.1,0.4166666666666667,-6.100000000000001,-0.46999999999999975,-4.299999999999997
Virginia,2025,9-2,9,2,0,33.7,21.2,4.8,3.3,2751.0,2363.0,5.96,5.02,31.9015,28.0985,49.16,28.48,45.83,58.33,81.8,71.4,0.8181818181818182,12.500000000000004,1.5,20.679999999999996
